date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2024-06-03,ARM_0,100021.1507936508,100021.1507936508,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,1,100.0
2024-06-04,ARM_0,100042.3060608623,100042.3060608623,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.02115079365079
2024-06-05,ARM_0,100063.46580258073,100063.46580258073,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.04230606086229
2024-06-06,ARM_0,100084.63001975247,100084.63001975247,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.06346580258072
2024-06-07,ARM_0,100105.79871332411,100105.79871332411,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.08463001975247
2024-06-10,ARM_0,100126.97188424245,100126.97188424245,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.1057987133241
2024-06-11,ARM_0,100148.14953345447,100148.14953345447,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.12697188424244
2024-06-12,ARM_0,100169.33166190739,100169.33166190739,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.14814953345447
2024-06-13,ARM_0,100190.51827054858,100190.51827054858,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.16933166190738
2024-06-14,ARM_0,100211.70936032564,100211.70936032564,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.19051827054857
2024-06-17,ARM_0,100232.90493218637,100232.90493218637,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,1,100.21170936032564
2024-06-18,ARM_0,100254.10498707877,100254.10498707877,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.23290493218636
2024-06-20,ARM_0,100275.30952595103,100275.30952595103,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.25410498707876
2024-06-21,ARM_0,100296.51854975156,100296.51854975156,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.27530952595103
2024-06-24,ARM_0,100317.73205942895,100317.73205942895,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.29651854975154
2024-06-25,ARM_0,100338.950055932,100338.950055932,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.31773205942895
2024-06-26,ARM_0,100360.1725402097,100360.1725402097,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.338950055932
2024-06-27,ARM_0,100381.39951321126,100381.39951321126,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.3601725402097
2024-06-28,ARM_0,100402.63097588607,100402.63097588607,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.38139951321125
2024-07-01,ARM_0,100423.86692918374,100423.86692918374,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.40263097588607
2024-07-02,ARM_0,100445.10737405407,100445.10737405407,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,1,100.42386692918373
2024-07-03,ARM_0,100466.35231144707,100466.35231144707,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.44510737405406
2024-07-05,ARM_0,100487.60174231295,100487.60174231295,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.46635231144707
2024-07-08,ARM_0,100508.8556676021,100508.8556676021,0.0,0,0.0,0.0,0.00021150793650793651,0,0,0,0,0,0,10,0,100.48760174231295
